filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,ÉÊ´ÉkÉ àÉÆjÉÉãÉªÉ BÉEÉÒ ¤ªÉÉè®ä´ÉÉ® àÉÉÆMÉä - ABÉE xÉVÉ® àÉå Detailed Demands of Ministry of Finance - At a Glance 1-4,2,1.0,-4.0,,,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉci´É{ÉÚhÉÇ {ÉÉÊ®ªÉÉäVÉxÉÉ+ÉÉäÆ +ÉÉè® ªÉÉäVÉxÉÉ+ÉÉäÆ {É® ÉÊ]{{ÉÉÊhÉªÉÉÆ Notes on Important Projects and Schemes 5-32,2,5.0,-32.0,,,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 30 - +ÉÉÉÊlÉÇBÉE BÉEÉªÉÇ ÉÊ´É£ÉÉMÉ Demand No. 30 — Department of Economic Affairs 33-62,4,30.0,30.0,33.0,-62.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 31 - BªÉªÉ ÉÊ´É£ÉÉMÉ Demand No. 31 — Department of Expenditure 63-69,4,31.0,31.0,63.0,-69.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 32 - ÉÊ´ÉkÉÉÒªÉ ºÉä´ÉÉAÆ ÉÊ´É£ÉÉMÉ Demand No. 32 — Department of Financial Services 70-84,4,32.0,32.0,70.0,-84.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 33 - ãÉÉäBÉE =tÉàÉ ÉÊ´É£ÉÉMÉ Demand No. 33 — Department of Public Enterprises 85-90,4,33.0,33.0,85.0,-90.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 34 - ÉÊxÉ´Éä¶É +ÉÉè® ãÉÉäBÉE {ÉÉÊ®ºÉÆ{ÉÉÊkÉ |É¤ÉÆvÉxÉ ÉÊ´É£ÉÉMÉ Demand No. 34 — Department of Investment & Public Asset Management 91-95,4,34.0,34.0,91.0,-95.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,revenue_admin,àÉÉÆMÉ ºÉÆJªÉÉ 35 - ®ÉVÉº´É ÉÊ´É£ÉÉMÉ Demand No. 35 — Department of Revenue 96-139,4,35.0,35.0,96.0,-139.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,revenue_admin,àÉÉÆMÉ ºÉÆJªÉÉ 36 - |ÉiªÉFÉ BÉE® Demand No. 36 — Direct Taxes 140-163,4,36.0,36.0,140.0,-163.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,revenue_admin,àÉÉÆMÉ ºÉÆJªÉÉ 37 - +É|ÉiªÉFÉ BÉE® Demand No. 37 — Indirect Taxes 164-194,4,37.0,37.0,164.0,-194.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 38 - £ÉÉ®iÉÉÒªÉ ãÉäJÉÉ {É®ÉÒFÉÉ iÉlÉÉ ãÉäJÉÉ ÉÊ´É£ÉÉMÉ Demand No. 38 — Indian Audit and Accounts Department 195-211,4,38.0,38.0,195.0,-211.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 39 - ÉÊ´ÉÉÊxÉªÉÉäMÉ-¤ªÉÉVÉ £ÉÖMÉiÉÉxÉ Demand No. 39 — Appropriation—Interest Payments 212-222,4,39.0,39.0,212.0,-222.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 40 - ÉÊ´ÉÉÊxÉªÉÉäMÉ-jÉ@hÉ BÉEÉ {ÉÖxÉ£ÉÖÇMÉiÉÉxÉ Demand No. 40 — Appropriation—Repayment of Debt 223-227,4,40.0,40.0,223.0,-227.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 41 - {Éå¶ÉxÉ Demand No. 41 — Pensions 228-237,4,41.0,41.0,228.0,-237.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,àÉÉÆMÉ ºÉÆJªÉÉ 42 - ®ÉVªÉÉå BÉEÉä +ÉÆiÉ®hÉ Demand No. 42 — Transfers to States 238-244,4,42.0,42.0,238.0,-244.0,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,ÉÊ´É´É®hÉ* Establishment and provisions therefor. 245-293,2,245.0,-293.0,,,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,infrastructure,{ÉÉÊ®ÉÊ¶ÉK]-XXVII ¤ÉVÉ] +ÉxÉÖàÉÉxÉ 2023-2024 àÉå ` 25 ãÉÉJÉ +ÉÉè® =ºÉºÉä +ÉÉÊvÉBÉE BÉEä Appendix-XXVII Statement showing broad details of expenditure (other than,3,2023.0,-2024.0,25.0,,,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,|ÉÉ´ÉvÉÉxÉÉå BÉEÉ ºlÉÚãÉ ¤ªÉÉè®ä´ÉÉ® ÉÊ´É´É®hÉ* costing `25 lakhs and above in BE 2023-2024. 294-331,5,25.0,2023.0,-2024.0,294.0,-331.0,,,,,
TN Budget 2023-24 Detailed Demands for Grants.pdf,1,camelot,other,ÉÊ´ÉkÉ àÉÆjÉÉãÉªÉ BÉEÉÒ ¤ªÉÉè®ä´ÉÉ® àÉÉÆMÉä - ABÉE xÉVÉ® àÉå Detailed Demands of Ministry of Finance - At a Glance 1-4,2,1.0,-4.0,,,,,,,,
