filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,210-பணியாளர் ெசலவினம்,1,210.0,,,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,210-ESTABLISHMENT EXPENSES BUDGET FORM NO F2 161720 205289 194928 214628,6,210.0,2.0,161720.0,205289.0,194928.0,214628.0,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,220-அ(cid:179)வலக ெசல(cid:182)கள்,3,220.0,179.0,182.0,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,220-ADMINISTRATIVE EXPENSES FORM NO F3 17645 20698 20928 20978,6,220.0,3.0,17645.0,20698.0,20928.0,20978.0,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,230-இயக்குதல் மற்(cid:178)ம் பராமரிப்(cid:174) ெசலவினங்கள்,3,230.0,178.0,174.0,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,230-OPERATION AND MAINTENANCE EXPENSES FORM NO F4 1205 2701 2101 2601,6,230.0,4.0,1205.0,2701.0,2101.0,2601.0,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,240-வட்டி மற்(cid:178)ம் இதர நிதி ெசலவினங்கள்,2,240.0,178.0,,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,240-INTEREST AND FINANCE CHARGES FORM NO F5 1147675 1488200 1117500 945500,6,240.0,5.0,1147675.0,1488200.0,1117500.0,945500.0,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,271 - ஏைனய ெசலவ(cid:142)ன(cid:117)க(cid:132),4,271.0,142.0,117.0,132.0,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,271-MISCELLANEOUS EXPENSES FORM NO F9 0 500 500 500,6,271.0,9.0,0.0,500.0,500.0,500.0,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,272-ேதய்மானம்,1,272.0,,,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,272-DEPRECIATION FORM NO F10 386 600 600 600,6,272.0,10.0,386.0,600.0,600.0,600.0,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,TOTAL 1328631 1717988 1336557 1184807,4,1328631.0,1717988.0,1336557.0,1184807.0,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,1,camelot,other,210-பணியாளர் ெசலவினம்,1,210.0,,,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,2022-2023 2023-2024 2023-2024 2024-2025,8,2022.0,-2023.0,2023.0,-2024.0,2023.0,-2024.0,2024.0,-2025.0,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,((cid:196)பாய் ஆயிரத்தில்),1,196.0,,,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,ஈட்டிய வி(cid:169)ப்(cid:174) சம்பளம்- அ(cid:179)வலர்,3,169.0,174.0,179.0,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,A 00-03-00 210-10-03-01 Leave Salary Surrender-Officer 1 1 1,10,0.0,-3.0,-0.0,210.0,-10.0,-3.0,-1.0,1.0,1.0,1.0
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,ஈட்டிய வி(cid:169)ப்(cid:174) சம்பளம்- பணியாளர்,2,169.0,174.0,,,,,,,,
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,A 00-03-00 210-10-03-02 Leave Salary Surrender-Staff 1 1 1,10,0.0,-3.0,-0.0,210.0,-10.0,-3.0,-2.0,1.0,1.0,1.0
TN Budget 2024-25 Detailed Demands for Grants.pdf,2,camelot,other,ஈட்டிய வி(cid:169)ப்(cid:174) சம்பளம்- ஓட்(cid:169)நர்,3,169.0,174.0,169.0,,,,,,,
